"","dyadID","a2pSOO_A","a2pSOO_P","age_A","age_P","authenticity_A","authenticity_P","avg_sexism_A","avg_sexism_P","careerasp_A","careerasp_P","gender_A","gender_P","howbody_avg_A","howbody_avg_P","inter_1_A","inter_1_P","inter_10_A","inter_10_P","inter_3_A","inter_3_P","inter_5_A","inter_5_P","inter_6_A","inter_6_P","inter_7_A","inter_7_P","inter_9_A","inter_9_P","interaux_5_A","interaux_5_P","interaux_6_A","interaux_6_P","metaSOO_A","metaSOO_P","partID_A","partID_P","partnum_A","partnum_P","personE_A","personE_P","race_A","race_P","relag_A","relag_P","sexism_logel_A","sexism_logel_P","sexor_A","sexor_P","trigram_score_A","trigram_score_P","TSO_A","TSO_P","smith_or_clark"
"29",106,-3.2,-3,NA,21,2.77777777777778,5.22222222222222,NA,2.875,3.8,4.2,2,2,1,1.5,2,6,1,6,6,5,7,4,2,6,2,4,1,5,1,6,3,5,-1.2,-2.22857142857143,12,11,2,2,1,-1,6,2,3.88888888888889,5,NA,2.33333333333333,5,1,6,7,-0.6,-3.4,"Smith"
"30",106,-3,-3.2,21,NA,5.22222222222222,2.77777777777778,2.875,NA,4.2,3.8,2,2,1.5,1,6,2,6,1,5,6,4,7,6,2,4,2,5,1,6,1,5,3,-2.22857142857143,-1.2,11,12,1,1,-1,1,2,6,5,3.88888888888889,2.33333333333333,NA,1,5,7,6,-3.4,-0.6,"Smith"
"31",112,-2.91428571428571,0,19,18,4.88888888888889,6.33333333333333,3.1875,NA,4.2,4.6,2,2,5,2.5,5,4,4,6,5,7,5,7,5,5,6,7,4,7,5,7,5,7,-0.857142857142857,0,37,36,2,2,1,-1,4,4,5,5.33333333333333,3.83333333333333,NA,1,1,6,2,1,5,"Smith"
"32",112,0,-2.91428571428571,18,19,6.33333333333333,4.88888888888889,NA,3.1875,4.6,4.2,2,2,2.5,5,4,5,6,4,7,5,7,5,5,5,7,6,7,4,7,5,7,5,0,-0.857142857142857,36,37,1,1,-1,1,4,4,5.33333333333333,5,NA,3.83333333333333,1,1,2,6,5,1,"Smith"
"33",113,-2.11428571428571,-1.68571428571429,18,18,3.55555555555556,5.66666666666667,3.0625,2.8125,3.1,3,2,2,6,1,4,3,3,4,4,7,5,7,4,6,4,6,2,5,2,7,4,6,-1.02857142857143,-1.8,38,39,1,1,-1,1,3,3,5.11111111111111,4.11111111111111,3.5,2.83333333333333,3,1,4,5,-1.8,-0.199999999999999,"Smith"
"34",113,-1.68571428571429,-2.11428571428571,18,18,5.66666666666667,3.55555555555556,2.8125,3.0625,3,3.1,2,2,1,6,3,4,4,3,7,4,7,5,6,4,6,4,5,2,7,2,6,4,-1.8,-1.02857142857143,39,38,2,2,1,-1,3,3,4.11111111111111,5.11111111111111,2.83333333333333,3.5,1,3,5,4,-0.199999999999999,-1.8,"Smith"
"35",114,-2.54285714285714,-0.8,19,18,6.66666666666667,4.44444444444444,3.1875,3.25,4.3,3.5,2,2,1,2,6,5,6,4,6,4,7,5,7,4,7,4,7,4,7,5,7,5,-2.28571428571429,-0.714285714285714,40,41,1,1,-1,1,3,2,4.88888888888889,5.22222222222222,2.66666666666667,3.66666666666667,1,1,7,5,-1.4,-4.6,"Smith"
"36",114,-0.8,-2.54285714285714,18,19,4.44444444444444,6.66666666666667,3.25,3.1875,3.5,4.3,2,2,2,1,5,6,4,6,4,6,5,7,4,7,4,7,4,7,5,7,5,7,-0.714285714285714,-2.28571428571429,41,40,2,2,1,-1,2,3,5.22222222222222,4.88888888888889,3.66666666666667,2.66666666666667,1,1,5,7,-4.6,-1.4,"Smith"
"37",115,-2.74285714285714,-1.8,NA,18,5.11111111111111,6.44444444444444,3.8125,3.1875,4,4.8,2,2,1,2,4,6,5,7,6,7,6,6,5,6,4,6,5,6,6,7,5,7,0.142857142857143,-1.05714285714286,43,42,2,2,1,-1,3,3,4.77777777777778,5.33333333333333,3.66666666666667,3.33333333333333,3,3,5,5,-0.199999999999999,3.8,"Smith"
"38",115,-1.8,-2.74285714285714,18,NA,6.44444444444444,5.11111111111111,3.1875,3.8125,4.8,4,2,2,2,1,6,4,7,5,7,6,6,6,6,5,6,4,6,5,7,6,7,5,-1.05714285714286,0.142857142857143,42,43,1,1,-1,1,3,3,5.33333333333333,4.77777777777778,3.33333333333333,3.66666666666667,3,3,5,5,3.8,-0.199999999999999,"Smith"
"39",117,-2.57142857142857,0.428571428571428,19,18,5.22222222222222,6.44444444444444,3.0625,3.3125,3.1,4.3,2,2,2,2,3,6,5,6,6,6,7,7,6,7,4,6,4,6,6,7,6,7,-0.542857142857143,0.0571428571428569,46,47,1,1,-1,1,3,3,2.88888888888889,4.77777777777778,3.66666666666667,4.16666666666667,1,3,8,7,2.2,1.8,"Smith"
