"partID","dyadID","trigram","correct_response","response"
"80","30","HONEY:SWARM:STING","Bee","BEE"
"80","30","MATCHES:SMOKE:BUSH","Fire","FLAME"
"80","30","CHOCOLATE:FORTUNE:TIN","Cookie",""
"80","30","CURIOSITY:NAP:WHISKERS","Cat","LONG"
"80","30","STALK:TRAINER:KING","Lion",""
"80","30","SURPRISE:LINE:BIRTHDAY","Party","PRESENT"
"80","30","RED:GO:CAR","Stop","RACE"
"80","30","MOUSE : SHARP : BLUE","Cheese","TAIL"
"82","31","QUACK:POND:WADDLE","Duck","duck"
"82","31","QUACK:POND:WADDLE","Duck","duck"
"82","31","ATHLETES:WEB:RABBIT","Foot",""
"82","31","ATHLETES:WEB:RABBIT","Foot","foot"
"82","31","HONEY:SWARM:STING","Bee","pain"
"82","31","HONEY:SWARM:STING","Bee","bee"
"82","31","MATCHES:SMOKE:BUSH","Fire","leaves (tbh I didn't read the instructions well so i'm not sure what i'm doing)"
"82","31","MATCHES:SMOKE:BUSH","Fire",""
"82","31","CHOCOLATE:FORTUNE:TIN","Cookie","cocoa"
"82","31","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"82","31","CURIOSITY:NAP:WHISKERS","Cat","cat"
"82","31","CURIOSITY:NAP:WHISKERS","Cat","cat"
"82","31","STALK:TRAINER:KING","Lion","athlete"
"82","31","STALK:TRAINER:KING","Lion",""
"82","31","SURPRISE:LINE:BIRTHDAY","Party","song"
"82","31","SURPRISE:LINE:BIRTHDAY","Party","party"
"82","31","RED:GO:CAR","Stop","stop (really don't know what I""m answering-sorry!)"
"82","31","RED:GO:CAR","Stop",""
"82","31","MOUSE : SHARP : BLUE","Cheese","cheese"
"82","31","MOUSE : SHARP : BLUE","Cheese",""
"9","3","QUACK:POND:WADDLE","Duck",""
"9","3","ATHLETES:WEB:RABBIT","Foot",""
"9","3","HONEY:SWARM:STING","Bee","bee"
"9","3","MATCHES:SMOKE:BUSH","Fire",""
"9","3","CHOCOLATE:FORTUNE:TIN","Cookie",""
"9","3","CURIOSITY:NAP:WHISKERS","Cat",""
"9","3","STALK:TRAINER:KING","Lion",""
"9","3","SURPRISE:LINE:BIRTHDAY","Party","party"
"9","3","RED:GO:CAR","Stop",""
"9","3","MOUSE : SHARP : BLUE","Cheese",""
"991104206","2","QUACK:POND:WADDLE","Duck","duck"
"991104206","2","ATHLETES:WEB:RABBIT","Foot",""
"991104206","2","HONEY:SWARM:STING","Bee","bee"
"991104206","2","MATCHES:SMOKE:BUSH","Fire","light"
"991104206","2","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"991104206","2","CURIOSITY:NAP:WHISKERS","Cat","cat"
"991104206","2","STALK:TRAINER:KING","Lion",""
"991104206","2","SURPRISE:LINE:BIRTHDAY","Party","party"
"991104206","2","RED:GO:CAR","Stop","light"
"991104206","2","MOUSE : SHARP : BLUE","Cheese","pen"
"991136713","2","QUACK:POND:WADDLE","Duck","DUCK"
"991136713","2","ATHLETES:WEB:RABBIT","Foot","FOOT"
"991136713","2","HONEY:SWARM:STING","Bee","BEE"
"991136713","2","MATCHES:SMOKE:BUSH","Fire","FIRE"
"991136713","2","CHOCOLATE:FORTUNE:TIN","Cookie","COOKIE"
"991136713","2","CURIOSITY:NAP:WHISKERS","Cat","CAT"
"991136713","2","STALK:TRAINER:KING","Lion","STRONG"
"991136713","2","SURPRISE:LINE:BIRTHDAY","Party","HAPPY"
"991136713","2","RED:GO:CAR","Stop",""
"991136713","2","MOUSE : SHARP : BLUE","Cheese","trap"
"fafadfa","f32344","QUACK:POND:WADDLE","Duck",""
"fafadfa","f32344","ATHLETES:WEB:RABBIT","Foot",""
"fafadfa","f32344","HONEY:SWARM:STING","Bee",""
"fafadfa","f32344","MATCHES:SMOKE:BUSH","Fire",""
"fafadfa","f32344","CHOCOLATE:FORTUNE:TIN","Cookie",""
"fafadfa","f32344","CURIOSITY:NAP:WHISKERS","Cat",""
"fafadfa","f32344","STALK:TRAINER:KING","Lion",""
"fafadfa","f32344","SURPRISE:LINE:BIRTHDAY","Party",""
"fafadfa","f32344","RED:GO:CAR","Stop",""
"fafadfa","f32344","MOUSE : SHARP : BLUE","Cheese",""
