partID,dyadID,Sentence,Stem,Target,Hannah,Jennie,Amelia,Notes
37.00,16.00,2.00,Helen crammed for the test ,"all night, stopping occasionally for a quick snack.",3.00,3,3,
37.00,16.00,3.00,Shirley asked for help getting home ,because she was unable to drive due to her alcohol binge.,3.00,3,1,
37.00,16.00,4.00,Sam read the newspaper ,",skimming the sports section to find out if the Cavs had won their game the night before",5.00,3,4,
37.00,16.00,5.00,Jenny went home to cook dinner ,for her kids as soon as she left work.,3.00,3,2,
37.00,16.00,6.00,Katherine baby-sat the neighbor's kids ,for four hours on Saturday.,3.00,3,3,
37.00,16.00,7.00,Tom bottle fed the baby ,milk while he rocked back and forth in the rocking chair,2.00,3,2,
37.00,16.00,8.00,Bert changed the oil ,to his car because it was getting very old.,3.00,3,3,
36.00,16.00,1.00,Linda swatted at the flies ,with quickness.,3.00,3,3,
36.00,16.00,2.00,Helen crammed for the test ,the morning she was going to take it.,3.00,3,3,
36.00,16.00,3.00,Shirley asked for help getting home ,from a stranger.,3.00,3,3,
36.00,16.00,4.00,Sam read the newspaper ,before school.,3.00,3,3,
36.00,16.00,5.00,Jenny went home to cook dinner ,for her sister.,3.00,4,3,
36.00,16.00,6.00,Katherine baby-sat the neighbor's kids ,on Monday.,3.00,3,3,
36.00,16.00,7.00,Tom bottle fed the baby ,when it was hungry.,3.00,3,3,
36.00,16.00,8.00,Bert changed the oil ,of his car.,3.00,3,3,
38.00,39.00,1.00,Linda swatted at the flies ,which made her boss angry.,3.00,4,2,
38.00,39.00,2.00,Helen crammed for the test ,and she got a bad result.,3.00,4,3,
38.00,39.00,3.00,Shirley asked for help getting home ,and her friends helped her.,3.00,3,3,
38.00,39.00,4.00,Sam read the newspaper ,about ISIS.,3.00,3,3,
38.00,39.00,5.00,Jenny went home to cook dinner ,for her parents.,4.00,4,4,
38.00,39.00,6.00,Katherine baby-sat the neighbor's kids ,and now she can buy a shirt that she always wanted!,4.00,3,5,
38.00,39.00,7.00,Tom bottle fed the baby ,and his parents rewarded him.,3.00,3,5,
38.00,39.00,8.00,Bert changed the oil ,because it had a bug floating in it.,2.00,3,3,
38.00,17.00,1.00,Linda swatted at the flies ,quickly,3.00,3,3,
38.00,17.00,2.00,Helen crammed for the test ,nervrously,3.00,3,3,
38.00,17.00,3.00,Shirley asked for help getting home ,nicely,4.00,3,3,
38.00,17.00,4.00,Sam read the newspaper ,camly,3.00,3,3,
38.00,17.00,5.00,Jenny went home to cook dinner ,quickly,3.00,3,3,
38.00,17.00,6.00,Katherine baby-sat the neighbor's kids ,nicely,3.00,3,3,
38.00,17.00,7.00,Tom bottle fed the baby ,nicely,3.00,3,2,
38.00,17.00,8.00,Bert changed the oil ,quickly,3.00,3,4,
44.00,19.00,1.00,Linda swatted at the flies ,since the flies were in her face.,3.00,3,3,
44.00,19.00,2.00,Helen crammed for the test ,and this stressed her out.,3.00,3,3,
44.00,19.00,3.00,Shirley asked for help getting home ,so their friend helped them.,3.00,3,3,
44.00,19.00,4.00,Sam read the newspaper ,in the morning.,3.00,3,3,
44.00,19.00,5.00,Jenny went home to cook dinner ,for their family.,5.00,4,5,
44.00,19.00,6.00,Katherine baby-sat the neighbor's kids ,for her job.,2.00,3,4,
44.00,19.00,7.00,Tom bottle fed the baby ,so the baby would no longer be hungry.,3.00,3,3,
44.00,19.00,8.00,Bert changed the oil ,in the car.,3.00,3,3,
